MOFNAME,PS,WS,MC,UPTAKE,QH
ABETIN_clean,9.47418,7.83744,0.724783,17.21547492,25.1136
ACAJIZ_clean,6.1865,5.74044,1.03451,3.153196224,28.5046
ACAJOF_clean,6.86398,6.10482,1.03741,3.700551827,27.5677
ACUFEK_clean,15.55627,9.00897,0.977366,17.3603617,21.3567
ADABUE_clean,4.54949,3.31506,0.89284,1.597138366,28.8678
ADASAB_charged,22.82402,13.49014,1.02462,9.33542282,13.8137
ADASEF_clean,21.62414,10.92309,0.806853,12.2116505,16.0853
ADASIJ_clean,18.23438,6.60024,1.02579,17.12045359,22.6656
ADATEG_manual,27.33782,13.33904,1.01443,9.129010567,11.764
ADATIK_clean,24.55082,12.17426,0.811586,11.65966292,15.3063
ADODAA_charged,10.017,4.9065,0.868567,10.92733499,29.8866
ADOGEH_clean,12.71447,5.05258,0.977787,12.28722809,32.6522
AFEJOK_ion_b,5.99825,5.12689,0.972532,7.79963565,35.7523
AFOYAW_clean,5.94533,4.22739,0.861209,8.492114416,31.5072
AFOYIE_clean,9.08566,8.61929,0.657781,13.96323299,28.4004
AFOYOK_clean,7.73482,5.71785,0.785429,8.471146596,30.5224
AGOFEJ_clean,12.6138,8.71559,0.865472,10.62585075,17.9317
AGUVOO_charged,6.0722,4.11181,1.00308,5.519880585,28.2305
AHOKIR01_clean,4.30721,3.46839,0.99756,5.843256085,53.1501
AHOKIR_clean,4.49939,3.47861,0.994279,5.981606899,49.9243
AHOKOX_clean,4.49188,3.54288,1.04441,5.965542234,34.8363
ALAMUW_clean,11.92678,5.98269,0.962173,18.50720626,25.0292
ALEJEI_clean,18.06508,7.13825,0.98345,18.35038726,22.3313
ALIXAU_clean_h,6.17139,3.91412,0.929373,2.192112535,25.5051
ALIXUP_clean,6.38387,5.75713,0.953937,4.793975365,29.0355
AMAFOK_clean,6.60314,5.66314,1.00472,3.325826946,33.5615
AMAGAX_clean,6.93247,6.0951,0.992788,3.717595925,32.1552
AMUWUB_clean,10.40349,8.69532,0.951967,6.709964653,20.5151
AMUXAI_clean,8.64297,7.79614,0.989085,5.62015352,23.7237
ANOMUM_clean,7.28969,4.98752,0.997917,13.3961472,29.9069
ANONAT_manual,7.80429,5.88473,0.984089,13.9296363,29.2794
ANUGEW_clean,14.4419,10.2051,0.967811,15.0246479,17.9316
ANUGIA_clean,13.85309,6.75838,1.00621,20.23113678,23.5988
ANUGOG_clean,11.39005,7.08849,0.977895,19.93429901,24.2471
APUPEH_clean,24.7893,14.09199,1.0337,7.730728793,12.16736
AQOSEG_clean,9.45829,3.34636,0.618172,7.322194706,29.8292
AQUCOF_clean,9.38154,5.59471,0.766081,10.21976816,31.4244
AQUDAS_clean,9.38408,5.62446,0.770256,10.16480314,30.8061
AQUDAT_clean,3.98099,3.46811,0.869826,1.50776421,35.7313
AQUDEX_clean,4.02336,3.48999,0.864524,1.562321757,35.7395
